                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0196,                0.72949,                 1.1274,                0.92147,                0.84761,                0.90662,                0.61153,                 1.1237,                0.67732,                 1.1656,              0.0014895,              0.0014895,              0.0014895
                     35,                 1.0211,                0.71361,                 1.1279,                0.93209,                0.78104,                0.87703,                0.58732,                 1.2049,                0.82472,                 1.2188,              0.0014741,              0.0014741,              0.0014741
                     36,                 1.0148,                  0.715,                  1.126,                0.92244,                0.80544,                0.89726,                0.59951,                 1.1772,                0.74039,                  1.203,              0.0014586,              0.0014586,              0.0014586
                     37,                0.99405,                0.70033,                 1.1089,                0.93622,                0.79531,                0.89951,                0.57458,                  1.224,                0.72223,                 1.2366,              0.0014431,              0.0014431,              0.0014431
                     38,                 1.0045,                0.69491,                 1.1181,                0.91135,                0.83747,                0.90131,                0.60364,                 1.1282,                0.68708,                 1.1715,              0.0014277,              0.0014277,              0.0014277
                     39,                0.98666,                0.68073,                 1.1021,                0.91877,                 0.8465,                0.92067,                0.59061,                 1.2186,                0.67391,                 1.2146,              0.0014122,              0.0014122,              0.0014122
                     40,                0.98573,                0.68596,                  1.108,                0.90631,                0.87133,                0.92395,                0.63991,                 1.0657,                0.60965,                 1.1651,              0.0013967,              0.0013967,              0.0013967
                     41,                0.96263,                 0.6658,                 1.0965,                0.91984,                0.83296,                0.90033,                0.56562,                 1.2601,                0.69627,                 1.2354,              0.0013813,              0.0013813,              0.0013813
                     42,                0.97111,                0.67847,                 1.1041,                 0.8971,                0.80135,                0.88307,                 0.6103,                 1.0882,                0.74085,                 1.1684,              0.0013658,              0.0013658,              0.0013658
                     43,                0.97251,                0.67637,                 1.1025,                0.95914,                0.84771,                0.93169,                0.62755,                 1.1302,                0.62826,                 1.1626,              0.0013503,              0.0013503,              0.0013503
                     44,                0.96937,                0.66768,                 1.0999,                0.90262,                 0.8369,                0.90717,                 0.6093,                  1.135,                0.67583,                 1.1786,              0.0013348,              0.0013348,              0.0013348
                     45,                0.95401,                0.65416,                 1.0913,                0.92991,                0.83862,                0.90567,                0.61305,                 1.1478,                 0.6354,                  1.198,              0.0013194,              0.0013194,              0.0013194
                     46,                0.96081,                 0.6681,                 1.0962,                 0.9217,                 0.7991,                  0.889,                0.62859,                 1.0916,                0.71233,                 1.1932,              0.0013039,              0.0013039,              0.0013039
                     47,                0.96016,                0.65562,                 1.0934,                0.92221,                0.83521,                0.91324,                0.62651,                 1.1142,                0.64797,                  1.194,              0.0012884,              0.0012884,              0.0012884
                     48,                0.95169,                0.64973,                 1.0895,                0.89848,                0.85904,                0.91713,                0.63325,                  1.088,                0.62137,                 1.1691,               0.001273,               0.001273,               0.001273
                     49,                0.94055,                0.64448,                 1.0871,                 0.9478,                0.83973,                0.91707,                0.62201,                 1.1145,                0.62213,                 1.1576,              0.0012575,              0.0012575,              0.0012575
                     50,                0.94452,                0.65181,                 1.0842,                0.95574,                0.81941,                0.91072,                0.62022,                 1.1279,                0.65807,                 1.1772,               0.001242,               0.001242,               0.001242
                     51,                0.92722,                 0.6305,                 1.0726,                0.93883,                0.85102,                0.91998,                0.64029,                 1.0821,                0.64381,                 1.1474,              0.0012266,              0.0012266,              0.0012266
                     52,                0.92094,                0.62773,                 1.0725,                0.90445,                0.81197,                0.87704,                0.57698,                 1.2007,                0.69483,                 1.2141,              0.0012111,              0.0012111,              0.0012111
                     53,                0.93455,                0.62938,                 1.0804,                0.93967,                0.84382,                0.91608,                0.63232,                 1.0858,                0.63089,                 1.1516,              0.0011956,              0.0011956,              0.0011956
                     54,                0.90898,                0.61162,                 1.0713,                0.93791,                0.83296,                0.91313,                0.61098,                 1.1182,                0.62264,                 1.1656,              0.0011802,              0.0011802,              0.0011802
                     55,                0.91993,                0.62046,                 1.0729,                0.92932,                0.81941,                 0.9141,                0.61742,                 1.1389,                0.67197,                 1.1646,              0.0011647,              0.0011647,              0.0011647
                     56,                0.91764,                0.61837,                 1.0761,                0.92092,                0.81496,                0.90485,                0.63464,                  1.088,                0.64591,                 1.1743,              0.0011492,              0.0011492,              0.0011492
                     57,                0.91935,                0.62396,                 1.0746,                0.92474,                0.83211,                0.91016,                0.62559,                 1.0887,                0.66356,                 1.1702,              0.0011337,              0.0011337,              0.0011337
                     58,                0.89384,                0.60091,                 1.0637,                0.94069,                 0.8149,                 0.8934,                0.61497,                  1.135,                0.66082,                 1.2083,              0.0011183,              0.0011183,              0.0011183
                     59,                0.89784,                0.60621,                 1.0647,                0.94814,                0.81038,                0.91806,                0.61451,                 1.1305,                0.61278,                 1.1838,              0.0011028,              0.0011028,              0.0011028
                     60,                0.91179,                0.61066,                  1.067,                 0.9324,                0.78781,                0.87852,                  0.594,                 1.1419,                 0.7027,                 1.1869,              0.0010873,              0.0010873,              0.0010873
                     61,                0.90338,                0.60352,                 1.0605,                0.93972,                0.80813,                0.89176,                0.61501,                 1.1112,                0.65611,                 1.1644,              0.0010719,              0.0010719,              0.0010719
                     62,                0.88432,                0.58944,                 1.0579,                0.93462,                0.84424,                0.91293,                0.63504,                 1.0645,                0.59789,                 1.1596,              0.0010564,              0.0010564,              0.0010564
                     63,                0.88503,                0.58023,                 1.0492,                   0.92,                0.83066,                0.91439,                0.63313,                 1.1105,                0.59919,                 1.1497,              0.0010409,              0.0010409,              0.0010409
                     64,                0.89624,                0.59564,                  1.067,                0.95348,                 0.8465,                0.92143,                0.63561,                 1.1121,                0.61166,                 1.1533,              0.0010255,              0.0010255,              0.0010255
                     65,                 0.8658,                0.57794,                 1.0466,                0.93494,                0.83973,                0.92144,                0.62173,                 1.1331,                 0.5985,                 1.1884,                0.00101,                0.00101,                0.00101
                     66,                0.87995,                0.59179,                 1.0495,                0.94573,                0.82601,                0.89954,                0.62814,                 1.1041,                0.62904,                 1.1861,             0.00099453,             0.00099453,             0.00099453
                     67,                0.86864,                0.57509,                 1.0464,                0.94885,                0.83752,                0.91297,                0.64569,                 1.0689,                0.60793,                 1.1468,             0.00097906,             0.00097906,             0.00097906
                     68,                0.85617,                0.57018,                 1.0436,                0.93739,                0.85327,                0.92243,                0.62983,                 1.1196,                0.61781,                 1.1744,             0.00096359,             0.00096359,             0.00096359
                     69,                0.87858,                 0.5803,                 1.0571,                 0.9254,                0.84005,                 0.9171,                0.64735,                 1.0749,                 0.6092,                 1.1507,             0.00094812,             0.00094812,             0.00094812
                     70,                0.86852,                0.57385,                 1.0439,                0.94009,                0.79684,                0.88434,                 0.6067,                 1.1264,                0.69454,                 1.2004,             0.00093266,             0.00093266,             0.00093266
                     71,                0.85446,                0.56465,                 1.0399,                0.94332,                0.82648,                0.90026,                0.62107,                 1.0933,                0.60608,                 1.1915,             0.00091719,             0.00091719,             0.00091719
                     72,                0.86904,                0.57406,                 1.0443,                0.96516,                0.81306,                0.91073,                0.63652,                  1.076,                0.62799,                 1.1572,             0.00090172,             0.00090172,             0.00090172
                     73,                0.84684,                0.56421,                 1.0418,                 0.9381,                0.78677,                0.87679,                 0.6002,                  1.129,                0.72974,                 1.1848,             0.00088625,             0.00088625,             0.00088625
                     74,                 0.8411,                0.55098,                 1.0393,                0.97008,                0.80506,                0.88512,                 0.6106,                 1.1046,                0.65733,                 1.1845,             0.00087078,             0.00087078,             0.00087078
                     75,                0.83495,                0.55271,                 1.0363,                0.94564,                0.82167,                0.90645,                 0.6372,                  1.104,                0.64168,                 1.1855,             0.00085531,             0.00085531,             0.00085531
                     76,                0.83601,                0.54917,                 1.0357,                0.92682,                0.82914,                0.89454,                0.62663,                 1.0922,                0.68939,                 1.1726,             0.00083984,             0.00083984,             0.00083984
                     77,                0.84384,                0.55206,                 1.0386,                0.92102,                0.83296,                0.89946,                0.63129,                 1.1164,                0.65785,                 1.1823,             0.00082438,             0.00082438,             0.00082438
                     78,                0.82688,                0.53681,                 1.0358,                0.96204,                  0.801,                0.88983,                0.62157,                 1.1203,                 0.6296,                 1.2032,             0.00080891,             0.00080891,             0.00080891
                     79,                 0.8301,                0.53664,                 1.0333,                0.93897,                0.83353,                0.90917,                0.63466,                 1.1088,                0.64688,                 1.1609,             0.00079344,             0.00079344,             0.00079344
                     80,                 0.8172,                0.53569,                 1.0272,                0.94612,                0.83246,                0.91998,                0.61911,                 1.1706,                0.62225,                 1.1813,             0.00077797,             0.00077797,             0.00077797
                     81,                0.81682,                0.53516,                 1.0249,                0.94219,                0.81038,                0.89271,                0.62168,                 1.0959,                0.66297,                 1.1828,              0.0007625,              0.0007625,              0.0007625
                     82,                0.83672,                0.54986,                 1.0415,                0.93434,                0.83522,                0.90315,                0.65177,                 1.0685,                0.62832,                 1.1513,             0.00074703,             0.00074703,             0.00074703
                     83,                0.81914,                0.53521,                 1.0274,                 0.9632,                0.82717,                0.91044,                0.64523,                 1.1058,                0.62116,                 1.1936,             0.00073156,             0.00073156,             0.00073156
                     84,                0.81267,                0.53291,                  1.024,                0.94508,                0.81571,                0.89737,                0.62958,                  1.124,                0.64476,                 1.1912,             0.00071609,             0.00071609,             0.00071609
                     85,                0.81757,                0.51978,                  1.027,                0.97047,                0.79007,                0.90094,                0.64111,                 1.0874,                0.68041,                 1.1776,             0.00070063,             0.00070063,             0.00070063
                     86,                0.80823,                0.53197,                 1.0243,                0.94558,                 0.8236,                0.91336,                 0.6487,                 1.1033,                0.68161,                  1.197,             0.00068516,             0.00068516,             0.00068516
                     87,                0.80091,                0.51772,                 1.0195,                0.94724,                0.85112,                0.91933,                0.61732,                 1.1498,                0.57457,                  1.193,             0.00066969,             0.00066969,             0.00066969
                     88,                0.82098,                0.52462,                 1.0292,                0.94142,                0.83521,                0.91008,                0.63498,                 1.0995,                0.59234,                 1.1873,             0.00065422,             0.00065422,             0.00065422
                     89,                0.79754,                0.51131,                 1.0226,                0.93003,                 0.8401,                0.90877,                0.63894,                 1.1071,                0.64669,                 1.1957,             0.00063875,             0.00063875,             0.00063875
                     90,                0.78792,                0.50709,                 1.0156,                0.91237,                0.84606,                0.91043,                0.64286,                 1.0856,                 0.6077,                 1.1802,             0.00062328,             0.00062328,             0.00062328
                     91,                0.78242,                0.50782,                   1.02,                   0.94,                0.81716,                0.89695,                0.63083,                  1.106,                0.64443,                  1.176,             0.00060781,             0.00060781,             0.00060781
                     92,                0.79238,                0.50909,                 1.0142,                0.94741,                0.81333,                0.90577,                0.63242,                 1.0906,                0.57909,                 1.2006,             0.00059234,             0.00059234,             0.00059234
                     93,                0.77866,                0.49856,                 1.0103,                0.94728,                0.81113,                0.89487,                0.62349,                 1.1244,                0.63979,                 1.2156,             0.00057688,             0.00057688,             0.00057688
                     94,                0.78127,                0.49449,                 1.0111,                0.95959,                0.80416,                0.89711,                0.62911,                 1.1149,                0.65292,                 1.1862,             0.00056141,             0.00056141,             0.00056141
                     95,                0.76935,                0.50005,                 1.0055,                0.94968,                0.80953,                0.90363,                0.64433,                 1.0725,                0.62136,                 1.1807,             0.00054594,             0.00054594,             0.00054594
                     96,                0.78301,                0.50066,                  1.015,                 0.9456,                0.82167,                 0.9129,                0.64569,                 1.0712,                0.62299,                 1.1859,             0.00053047,             0.00053047,             0.00053047
                     97,                0.78046,                0.50157,                 1.0082,                0.93235,                0.83995,                 0.9019,                0.63415,                 1.1176,                0.63241,                 1.2207,               0.000515,               0.000515,               0.000515
                     98,                0.76639,                0.49515,                 1.0029,                0.94115,                0.83029,                0.90652,                 0.6345,                 1.1212,                 0.6285,                 1.2013,             0.00049953,             0.00049953,             0.00049953
                     99,                0.76111,                0.49343,                 1.0053,                 0.9347,                 0.8465,                0.91198,                0.63988,                 1.1025,                0.60624,                 1.1965,             0.00048406,             0.00048406,             0.00048406
                    100,                 0.7559,                0.49129,                 1.0043,                0.92772,                0.84028,                0.91394,                0.64752,                 1.0946,                0.59385,                 1.1969,             0.00046859,             0.00046859,             0.00046859
                    101,                0.76278,                0.49117,                 1.0055,                0.97577,                0.81832,                  0.919,                0.64178,                 1.1184,                0.61305,                 1.1958,             0.00045313,             0.00045313,             0.00045313
                    102,                 0.7572,                0.48046,                0.99557,                0.91954,                0.85102,                0.91756,                0.64379,                 1.1137,                0.61114,                 1.1825,             0.00043766,             0.00043766,             0.00043766
                    103,                0.75073,                 0.4748,                0.99828,                  0.948,                0.82307,                0.91111,                0.64314,                   1.11,                0.61544,                 1.1932,             0.00042219,             0.00042219,             0.00042219
                    104,                0.73759,                0.47198,                0.99434,                0.96002,                0.81716,                 0.9058,                0.65139,                 1.0933,                0.62875,                 1.1912,             0.00040672,             0.00040672,             0.00040672
                    105,                0.73779,                0.47343,                0.99606,                0.96863,                0.81941,                0.90703,                0.64855,                 1.1005,                0.63955,                 1.1927,             0.00039125,             0.00039125,             0.00039125
                    106,                 0.7391,                0.47881,                0.99515,                0.95821,                0.82815,                0.90916,                0.65542,                 1.0872,                0.62479,                 1.1761,             0.00037578,             0.00037578,             0.00037578
                    107,                0.74055,                0.47505,                0.99633,                0.95717,                0.80709,                0.90963,                0.63918,                 1.1223,                0.63457,                 1.1952,             0.00036031,             0.00036031,             0.00036031
                    108,                0.74063,                0.47931,                0.98903,                 0.9524,                0.81264,                0.90247,                0.64076,                 1.1174,                 0.6183,                 1.1942,             0.00034484,             0.00034484,             0.00034484
                    109,                0.73889,                0.47221,                0.99173,                0.94414,                0.82844,                0.91254,                 0.6503,                  1.105,                0.64507,                  1.188,             0.00032938,             0.00032938,             0.00032938
                    110,                0.71638,                0.46247,                0.98457,                0.96756,                0.82619,                0.91184,                0.64828,                 1.1058,                0.61158,                 1.1864,             0.00031391,             0.00031391,             0.00031391
